tmp_code	GO_terms
tmp_000791	['GO:0019277', 'GO:0016765', 'GO:0009252', 'GO:0003824', 'GO:0008760']
tmp_000793	['GO:0003983', 'GO:0006011', 'GO:0009058']
tmp_000795	['GO:0016020']
tmp_000796	['GO:0005829', 'GO:0043039', 'GO:0006418', 'GO:0006424', 'GO:0005524', 'GO:0004818', 'GO:0000166', 'GO:0000049', 'GO:0004812']
tmp_000797	['GO:0018545', 'GO:0005829', 'GO:0046256', 'GO:0016491']
tmp_000798	['GO:0003723', 'GO:0006396', 'GO:0008033', 'GO:0000049', 'GO:0016779']
tmp_000801	['GO:0016987', 'GO:0006352', 'GO:0003677', 'GO:0001216']
tmp_000802	['GO:0016887', 'GO:0005886', 'GO:0005524', 'GO:0043190', 'GO:0055085']
tmp_000803	['GO:0002949']
tmp_000804	['GO:0006260', 'GO:0016887', 'GO:0009360', 'GO:0003887', 'GO:0005524', 'GO:0006261']
tmp_000805	['GO:0006865', 'GO:0005887', 'GO:0015171', 'GO:0016020']
tmp_000808	['GO:0004067', 'GO:0006520', 'GO:0006528']
tmp_000809	['GO:0015740', 'GO:0015556', 'GO:0016020']
tmp_000812	['GO:0003723', 'GO:0017150', 'GO:0016491', 'GO:0008033', 'GO:0050660']
tmp_000813	['GO:0000166', 'GO:0008033', 'GO:0016879', 'GO:0005524']
tmp_000816	['GO:0005525']
tmp_000818	['GO:0005829', 'GO:0018339', 'GO:0035599', 'GO:0016740', 'GO:0051536', 'GO:0006400', 'GO:0051539', 'GO:0005737', 'GO:0035596', 'GO:0003824']
tmp_000821	['GO:0008962', 'GO:0006629']
tmp_000822	['GO:0005524', 'GO:0005737', 'GO:0009252', 'GO:0046872', 'GO:0008716']
tmp_000824	['GO:0016881', 'GO:0009058', 'GO:0005524']
tmp_000825	['GO:0003824']
tmp_000826	['GO:0004749', 'GO:0006164', 'GO:0009156', 'GO:0000287', 'GO:0009165', 'GO:0005737', 'GO:0044249', 'GO:0006015', 'GO:0002189']
tmp_000831	['GO:0003723', 'GO:0001522', 'GO:0009451', 'GO:0009982']
tmp_000832	['GO:0005515']
tmp_000833	['GO:0008176', 'GO:0043527', 'GO:0006400', 'GO:0030488', 'GO:0036265']
tmp_000834	['GO:0016887', 'GO:0005886', 'GO:0005524', 'GO:0055085', 'GO:0022857']
tmp_000835	['GO:0032153', 'GO:0016020', 'GO:0051301', 'GO:0016021']
tmp_000836	['GO:0004222']
tmp_000838	['GO:0071973', 'GO:0009288', 'GO:0009421', 'GO:0009424', 'GO:0007155']
tmp_000839	['GO:0044780', 'GO:0071973']
tmp_000841	['GO:0061503', 'GO:0061504', 'GO:0008641']
tmp_000843	['GO:0033388', 'GO:0006807', 'GO:0016811', 'GO:0050126']
tmp_000844	['GO:0016020']
tmp_000845	['GO:0005886', 'GO:0042910', 'GO:0055085', 'GO:0015297', 'GO:0016020']
tmp_000846	['GO:0003723', 'GO:0003676', 'GO:0006402', 'GO:0005730', 'GO:0016020']
tmp_000847	['GO:0009396', 'GO:0035999', 'GO:0030272']
tmp_000849	['GO:0006605', 'GO:0005047', 'GO:0005525', 'GO:0005886', 'GO:0003924', 'GO:0006614', 'GO:0016020']
tmp_000854	['GO:0006777', 'GO:0003824', 'GO:1902758', 'GO:0016779']
tmp_000855	['GO:0005886', 'GO:0044780', 'GO:0015031', 'GO:0016020', 'GO:0009306']
tmp_000857	['GO:0030288', 'GO:0000910', 'GO:0009253', 'GO:0008745']
tmp_000858	['GO:0018580']
tmp_000859	['GO:0003723', 'GO:0006437', 'GO:0005829', 'GO:0043039', 'GO:0004831', 'GO:0005524', 'GO:0006418', 'GO:0000166', 'GO:0004812']
tmp_000860	['GO:0005618', 'GO:0015969', 'GO:0005886']
tmp_000861	['GO:0003677', 'GO:0003899', 'GO:0006351']
tmp_000862	['GO:0006225', 'GO:0033862', 'GO:0005829', 'GO:0006221', 'GO:0005737', 'GO:0009041']
tmp_000863	['GO:0016829', 'GO:0009234']
tmp_000864	['GO:0006099', 'GO:0005829', 'GO:0019629', 'GO:0051539', 'GO:0003994', 'GO:0047456']
tmp_000870	['GO:0030288', 'GO:0042953', 'GO:0044874', 'GO:0042597']
tmp_000871	['GO:0006886', 'GO:0006605', 'GO:0017038', 'GO:0031522', 'GO:0005829', 'GO:0043952', 'GO:0005887', 'GO:0005524', 'GO:0016020']
tmp_000872	['GO:0098797', 'GO:0016020', 'GO:0044874']
tmp_000875	['GO:0005215', 'GO:0016887', 'GO:0015086', 'GO:0022857', 'GO:0005524', 'GO:0046872', 'GO:0019829', 'GO:0030001', 'GO:0055085', 'GO:0000166', 'GO:0006812', 'GO:0016020']
tmp_000876	['GO:0005524']
tmp_000877	['GO:0005739', 'GO:0042586', 'GO:0018206']
tmp_000878	['GO:0006515', 'GO:0051117', 'GO:0004176', 'GO:0006508', 'GO:0004252', 'GO:0009368']
tmp_000879	['GO:0003755', 'GO:0061077', 'GO:0006457', 'GO:0043022', 'GO:0015031', 'GO:0044183', 'GO:0051083', 'GO:0043335']
tmp_000881	['GO:0009279']
tmp_000882	['GO:0006777']
tmp_000884	['GO:0006777']
tmp_000886	['GO:0003935', 'GO:0005829', 'GO:0009231', 'GO:0008686']
tmp_000888	['GO:0003935', 'GO:0005829', 'GO:0009231', 'GO:0008686']
tmp_000892	['GO:0008897', 'GO:0000287', 'GO:0006633']
tmp_000893	['GO:0009425', 'GO:0071973', 'GO:0071978', 'GO:0006935']
tmp_000894	['GO:0031167', 'GO:0008168']
tmp_000896	['GO:0035243']
tmp_000898	['GO:0005829', 'GO:0008641', 'GO:0008146', 'GO:0004792', 'GO:0005737', 'GO:0016779']
tmp_000899	['GO:0006935', 'GO:0071978', 'GO:0005886', 'GO:0016021']
tmp_000904	['GO:0009307', 'GO:0015667', 'GO:0003677', 'GO:0008170']
tmp_000905	['GO:0031460', 'GO:0043190', 'GO:0016020', 'GO:0055085', 'GO:0022857']
tmp_000906	['GO:0016887', 'GO:0005524']
tmp_000909	['GO:0009380', 'GO:0006289', 'GO:0006974', 'GO:0009381', 'GO:0005515']
tmp_000910	['GO:0006520', 'GO:0050661', 'GO:0016491', 'GO:0009088', 'GO:0004412']
tmp_000911	['GO:0003676']
tmp_000912	['GO:0005737', 'GO:0005829', 'GO:0045454', 'GO:0015035']
tmp_000913	['GO:0045454', 'GO:0004791', 'GO:0016491', 'GO:0005737', 'GO:0019430']
tmp_000915	['GO:0003676', 'GO:0003723']
tmp_000916	['GO:0046933', 'GO:0015078', 'GO:0005887', 'GO:0045263', 'GO:0042777', 'GO:0015986']
tmp_000917	['GO:0006164', 'GO:0016491', 'GO:0006183', 'GO:0003824', 'GO:0003938']
tmp_000918	['GO:0030956', 'GO:0006412', 'GO:0050567', 'GO:0003824']
tmp_000919	['GO:0004140', 'GO:0015937', 'GO:0005524']
tmp_000920	['GO:0003824']
tmp_000922	['GO:0043022', 'GO:0005525', 'GO:0000027']
tmp_000923	['GO:0030527', 'GO:0005829', 'GO:0003677']
tmp_000927	['GO:0015483']
tmp_000929	['GO:0010181', 'GO:0004633', 'GO:0071513', 'GO:0015937', 'GO:0015941', 'GO:0003824', 'GO:0004632']
tmp_000931	['GO:0009228', 'GO:0005737', 'GO:0004789']
tmp_000932	['GO:0008972', 'GO:0009228', 'GO:0005829', 'GO:0008902']
tmp_000933	['GO:0009228', 'GO:0004417', 'GO:0000287', 'GO:0005524']
tmp_000934	['GO:0009307', 'GO:0004519', 'GO:0003677', 'GO:0005524', 'GO:0006304', 'GO:0009035']
tmp_000935	['GO:0003677']
tmp_000936	['GO:0003677']
tmp_000937	['GO:0003676', 'GO:0008170', 'GO:0009307', 'GO:0003677', 'GO:0032259', 'GO:0009007', 'GO:0008168']
tmp_000938	['GO:0003677', 'GO:0010424', 'GO:0010216', 'GO:0003886', 'GO:0008168', 'GO:0005634']
tmp_000942	['GO:0016887', 'GO:0005524']
tmp_000943	['GO:0003920', 'GO:1902560', 'GO:0005829', 'GO:0016491', 'GO:0006163', 'GO:0003824']
tmp_000944	['GO:0097367', 'GO:1901135', 'GO:0008968']
tmp_000945	['GO:0005829', 'GO:0016773', 'GO:0033786', 'GO:0005975', 'GO:0009058', 'GO:0033785', 'GO:0003824', 'GO:0016779']
tmp_000946	['GO:0005975', 'GO:0050661', 'GO:0008712']
tmp_000947	['GO:0005975', 'GO:0016791']
tmp_000949	['GO:0004594']
tmp_000950	['GO:0005515']
tmp_000952	['GO:0046081', 'GO:0004170', 'GO:0000287', 'GO:0006226']
tmp_000953	['GO:0032784', 'GO:0006354', 'GO:0003677', 'GO:0070063']
tmp_000954	['GO:0009245', 'GO:0008915', 'GO:0005543']
tmp_000956	['GO:0051604', 'GO:0016151', 'GO:0008270']
tmp_000957	['GO:0044781', 'GO:0009288', 'GO:0071978']
tmp_000959	['GO:0005829']
tmp_000962	['GO:0004096', 'GO:0042542', 'GO:0005737', 'GO:0006979', 'GO:0042744', 'GO:0020037']
tmp_000963	['GO:0015344', 'GO:0031230', 'GO:0044718']
tmp_000964	['GO:0003676', 'GO:0006281', 'GO:0004520', 'GO:0006310', 'GO:0008821']
tmp_000968	['GO:0009378', 'GO:0006281', 'GO:0009379', 'GO:0003678', 'GO:0003677', 'GO:0005524', 'GO:0006310']
tmp_000971	['GO:0006418', 'GO:0005524', 'GO:0004817', 'GO:0005737', 'GO:0000166', 'GO:0006423', 'GO:0004812']
tmp_000972	['GO:0005576', 'GO:0019867']
tmp_000973	['GO:0016887', 'GO:0042626', 'GO:0005524', 'GO:0043190']
tmp_000974	['GO:0033214', 'GO:0022857', 'GO:0005887', 'GO:0016020']
tmp_000975	['GO:0016491']
tmp_000976	['GO:0016790']
tmp_000977	['GO:0006415', 'GO:0004521', 'GO:0006402']
tmp_000983	['GO:0051604', 'GO:0051539', 'GO:0005506', 'GO:0046872', 'GO:0070025']
tmp_000984	['GO:0051604', 'GO:1902670', 'GO:0005506']
tmp_000985	['GO:0008270', 'GO:0051604', 'GO:0016151', 'GO:0003924']
tmp_000987	['GO:0006082', 'GO:0006083', 'GO:0016301', 'GO:0016774', 'GO:0008776', 'GO:0016310']
tmp_000988	['GO:0016746', 'GO:0016407']
tmp_000990	['GO:0071978']
tmp_000991	['GO:0071978']
tmp_000993	['GO:0003676', 'GO:0032259', 'GO:0008168', 'GO:0006304']
tmp_000994	['GO:0000725', 'GO:0043138', 'GO:0005829', 'GO:0003678', 'GO:0016787', 'GO:0003677', 'GO:0005524', 'GO:0033202']
tmp_000998	['GO:0015344', 'GO:0031230', 'GO:0044718']
tmp_001000	['GO:0005524', 'GO:0006807', 'GO:0005737', 'GO:0004088', 'GO:0046872', 'GO:0006541']
tmp_001002	['GO:0016620', 'GO:0005829', 'GO:0050661', 'GO:0051287', 'GO:0006006', 'GO:0004365']
tmp_001005	['GO:0006725', 'GO:0016853']
tmp_001006	['GO:0046872', 'GO:0006281', 'GO:0003677', 'GO:0006310']
tmp_001007	['GO:0003723', 'GO:0005829', 'GO:0001522', 'GO:0009451', 'GO:0009982']
tmp_001008	['GO:0006508', 'GO:0004222']
tmp_001009	['GO:0006729', 'GO:0005525', 'GO:0046654', 'GO:0005737', 'GO:0008270', 'GO:0003934']
tmp_001010	['GO:0004659', 'GO:0008299']
tmp_001011	['GO:0008253', 'GO:0016787', 'GO:0004309', 'GO:0008254', 'GO:0008252']
tmp_001013	['GO:0070497']
tmp_001014	['GO:0051536', 'GO:0003824']
tmp_001015	['GO:0008080', 'GO:0016747']
tmp_001017	['GO:0055085', 'GO:0022857']
tmp_001020	['GO:0005886', 'GO:0006865', 'GO:0071705', 'GO:0022857', 'GO:0043190', 'GO:0055085', 'GO:0016020']
tmp_001022	['GO:0005829', 'GO:0030170', 'GO:0030632', 'GO:0008784', 'GO:0006522', 'GO:0003824']
tmp_001023	['GO:0006814', 'GO:0005886', 'GO:0006865', 'GO:0005283', 'GO:0016020']
tmp_001024	['GO:0005737', 'GO:0016491']
tmp_001025	['GO:1901565', 'GO:0019239', 'GO:0005829']
tmp_001031	['GO:0016020']
tmp_001034	['GO:0006364', 'GO:0008168']
tmp_001035	['GO:0003989', 'GO:0006633', 'GO:0009317']
tmp_001039	['GO:0016491']
tmp_001040	['GO:0042158', 'GO:0008961', 'GO:0005886']
tmp_001041	['GO:0003723', 'GO:0001522', 'GO:0009451', 'GO:0009982']
tmp_001042	['GO:0009245', 'GO:0016740', 'GO:0005886']
tmp_001044	['GO:0005737']
tmp_001045	['GO:0005829', 'GO:0005524', 'GO:0006426', 'GO:0005737', 'GO:0004820', 'GO:0000166']
tmp_001046	['GO:0005829', 'GO:0006072', 'GO:0005975', 'GO:0051287', 'GO:0047952', 'GO:0016616', 'GO:0046168']
tmp_001049	['GO:0003723', 'GO:0004518']
tmp_001051	['GO:0005886', 'GO:0008324', 'GO:0022857', 'GO:0042910', 'GO:0055085', 'GO:0006812', 'GO:0016020']
tmp_001052	['GO:0030288', 'GO:0046914', 'GO:0030313']
tmp_001053	['GO:0055085', 'GO:0015562']
tmp_001054	['GO:0005829', 'GO:0005524', 'GO:0006426', 'GO:0005737', 'GO:0004820', 'GO:0000166']
tmp_001056	['GO:0005829', 'GO:0006007', 'GO:0004619', 'GO:0044262', 'GO:0030145', 'GO:0005737', 'GO:0046537', 'GO:0046872', 'GO:0003824']
tmp_001057	['GO:0006450']
tmp_001058	['GO:0004015', 'GO:0030170', 'GO:0009102', 'GO:0008483']
tmp_001059	['GO:0003755']
tmp_001060	['GO:0032153', 'GO:0005515', 'GO:0009898', 'GO:0051301']
tmp_001061	['GO:0032153', 'GO:0005525', 'GO:0051301', 'GO:0005737', 'GO:0003924']
tmp_001063	['GO:0055085', 'GO:0016020', 'GO:0008381']
tmp_001075	['GO:0006527', 'GO:0008792', 'GO:0033388', 'GO:0008295', 'GO:0003824']
tmp_001076	['GO:0016757']
tmp_001078	['GO:0016765', 'GO:0002098']
tmp_001080	['GO:0004825', 'GO:0006431', 'GO:0006418', 'GO:0005524', 'GO:0000166', 'GO:0000049', 'GO:0004812']
tmp_001081	['GO:0008610']
tmp_001082	['GO:0055085', 'GO:0016020']
tmp_001087	['GO:0009279']
tmp_001088	['GO:0005829', 'GO:0006164', 'GO:0005524', 'GO:0006177', 'GO:0003922', 'GO:0003921']
tmp_001093	['GO:0005829', 'GO:0055130', 'GO:0016787', 'GO:0043530', 'GO:0005737', 'GO:0003824']
tmp_001094	['GO:0043039', 'GO:0005524', 'GO:0004826', 'GO:0006432', 'GO:0005737', 'GO:0000166', 'GO:0000049', 'GO:0004812']
tmp_001095	['GO:0003723', 'GO:0000287', 'GO:0005524', 'GO:0006432', 'GO:0004826', 'GO:0009328', 'GO:0000049']
tmp_001096	['GO:0009073', 'GO:0009423', 'GO:0016765', 'GO:0003824', 'GO:0003866']
tmp_001097	['GO:0050992', 'GO:0019288', 'GO:0046872', 'GO:0051745']
tmp_001098	['GO:0003676', 'GO:0003723', 'GO:0022627', 'GO:0005840', 'GO:0006412', 'GO:0003729', 'GO:0003735']
tmp_001100	['GO:0016616', 'GO:0006564', 'GO:0051287', 'GO:0004617']
tmp_001101	['GO:0005829', 'GO:0005737', 'GO:0006744', 'GO:0008694', 'GO:0016831']
tmp_001102	['GO:0030170', 'GO:0005622']
tmp_001103	['GO:0009245', 'GO:0008758', 'GO:0016787']
tmp_001104	['GO:0006935', 'GO:0007165', 'GO:0000160']
tmp_001105	['GO:0000160', 'GO:0006935', 'GO:0016772', 'GO:0005737', 'GO:0000155', 'GO:0007165', 'GO:0016310', 'GO:0004673']
tmp_001106	['GO:0006935', 'GO:0007165', 'GO:0005829']
tmp_001107	['GO:0016684', 'GO:0016209', 'GO:0008379', 'GO:0016491']
tmp_001108	['GO:0006801', 'GO:0046872', 'GO:0004784']
tmp_001109	['GO:0002098']
tmp_001110	['GO:0043138', 'GO:0006260', 'GO:0003676', 'GO:0006302', 'GO:0032508', 'GO:0003678', 'GO:0003677', 'GO:0006310', 'GO:0005524', 'GO:0006270', 'GO:0006268']
tmp_001113	['GO:0042834']
tmp_001115	['GO:0071586', 'GO:0008233', 'GO:0006508', 'GO:0004222']
tmp_001116	['GO:0003676', 'GO:0018364', 'GO:0032259', 'GO:0008168', 'GO:0006479', 'GO:0008276', 'GO:0036009']
tmp_001117	['GO:0006537', 'GO:0005829', 'GO:0006520', 'GO:0016491', 'GO:0016639', 'GO:0004354']
tmp_001119	['GO:0017004', 'GO:0005886', 'GO:0020037']
tmp_001121	['GO:0004325', 'GO:0006783']
tmp_001123	['GO:0006364', 'GO:0070042', 'GO:0008168', 'GO:0070475']
tmp_001125	['GO:0006229', 'GO:0015949', 'GO:0008829']
tmp_001126	['GO:0003989', 'GO:0006633', 'GO:0009317']
tmp_001127	['GO:0016874', 'GO:0046872', 'GO:0005524']
tmp_001131	['GO:0030170', 'GO:0008483', 'GO:0000271']
tmp_001133	['GO:0009263', 'GO:0016491']
tmp_001134	['GO:0004719', 'GO:0005737', 'GO:0036211']
tmp_001135	['GO:0015920', 'GO:0016020', 'GO:0043190']
tmp_001136	['GO:0003723', 'GO:0031119', 'GO:0001522', 'GO:0009451', 'GO:0009982']
tmp_001137	['GO:0033499', 'GO:0005829', 'GO:0003978', 'GO:0006012']
tmp_001141	['GO:0005829', 'GO:0016491']
tmp_001142	['GO:0005515']
tmp_001143	['GO:0016829']
tmp_001144	['GO:0005829', 'GO:0016836', 'GO:0004456', 'GO:0003824', 'GO:0009255']
tmp_001145	['GO:0005829', 'GO:0009051', 'GO:0004345', 'GO:0050661', 'GO:0006006', 'GO:0016614']
tmp_001146	['GO:0005975', 'GO:0006098', 'GO:0017057']
tmp_001147	['GO:0004340', 'GO:0005829', 'GO:0005524', 'GO:0005536', 'GO:0051156', 'GO:0006096']
tmp_001148	['GO:0016616', 'GO:0008270', 'GO:0016491']
tmp_001150	['GO:0016757']
tmp_001153	['GO:0016903', 'GO:0016491', 'GO:0016625']
tmp_001154	['GO:0016625', 'GO:0051539']
tmp_001155	['GO:0006979', 'GO:0003824', 'GO:0016491']
tmp_001156	['GO:0030976', 'GO:0003824']
tmp_001157	['GO:0005829', 'GO:0004018', 'GO:0009152', 'GO:0044208', 'GO:0003824', 'GO:0070626']
tmp_001163	['GO:0005515']
tmp_001164	['GO:0036374', 'GO:0006751']
tmp_001165	['GO:0044780', 'GO:0005198', 'GO:0009424']
tmp_001167	['GO:0008168']
tmp_001170	['GO:0003755']
tmp_001171	['GO:0005515']
tmp_001175	['GO:0055085', 'GO:0022857', 'GO:0005887']
tmp_001176	['GO:0017038', 'GO:0005887']
tmp_001177	['GO:0045261', 'GO:0015986', 'GO:0046933']
tmp_001178	['GO:0046933', 'GO:0016887', 'GO:0045261', 'GO:0005524', 'GO:0015986', 'GO:1902600', 'GO:0046034']
tmp_001179	['GO:0046933', 'GO:0045261', 'GO:0015986']
tmp_001180	['GO:0046933', 'GO:0045261', 'GO:0005524', 'GO:0015986', 'GO:1902600', 'GO:0032559', 'GO:0046034', 'GO:0043531']
tmp_001181	['GO:0046933', 'GO:0015986']
tmp_001182	['GO:0015078', 'GO:0045263', 'GO:0015986']
tmp_001183	['GO:0015078', 'GO:0045263', 'GO:0015986', 'GO:0046961']
tmp_001184	['GO:0045881', 'GO:0005694', 'GO:0003677', 'GO:0007059']
tmp_001186	['GO:0005737', 'GO:0004077', 'GO:0036211']
tmp_001187	['GO:0005829', 'GO:0004479', 'GO:0071951', 'GO:0009058', 'GO:0003824']
tmp_001188	['GO:0016887', 'GO:0005524']
tmp_001192	['GO:0022625', 'GO:0005840', 'GO:0006412', 'GO:0003735']
tmp_001193	['GO:0008033', 'GO:0002939', 'GO:0005829', 'GO:0052906']
tmp_001194	['GO:0006364', 'GO:0043022', 'GO:0005840']
tmp_001195	['GO:0003723']
tmp_001196	['GO:0006412', 'GO:0005840', 'GO:0015935', 'GO:0003735']
tmp_001197	['GO:0016887', 'GO:0005525', 'GO:0008312', 'GO:0048500', 'GO:0003924', 'GO:0006614']
tmp_001198	['GO:0005829', 'GO:0002161', 'GO:0006418', 'GO:0005524', 'GO:0004832', 'GO:0005737', 'GO:0000166', 'GO:0006438', 'GO:0004812']
tmp_001199	['GO:0044780']
